Artifact,OriginalVersion,Architecture,ReleaseUse,FileSize,SizeBasedVersion,SameAsOriginal,NoAssayDev,ReleaseBasedAndSame
ts-assaydev-iruploader,6.7.15.1,amd64,6.7.15.1_AssayDev,301366268,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-iruploader,6.7.15.1,amd64,6.7.15.2_AssayDev,301366268,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-iruploader,6.7.16,amd64,6.7.16_AssayDev,301379716,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-iruploader,6.7.17,amd64,6.7.17_AssayDev,301587196,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-iruploader,6.7.17,amd64,6.7.17.1_AssayDev,301587196,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-manager,6.7.15,amd64,6.7.15_AssayDev,27551928,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-manager,6.7.15.1,amd64,6.7.15.1_AssayDev,27553352,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-manager,6.7.15.1,amd64,6.7.15.2_AssayDev,27553352,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-manager,6.7.16,amd64,6.7.16_AssayDev,27552268,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-manager,6.7.17,amd64,6.7.17_AssayDev,27553556,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-manager,6.7.17,amd64,6.7.17.1_AssayDev,27553556,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-molecularcoverageanalysis,6.7.15,amd64,6.7.15_AssayDev,11298708,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-molecularcoverageanalysis,6.7.15.1,amd64,6.7.15.1_AssayDev,11298564,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-molecularcoverageanalysis,6.7.15.1,amd64,6.7.15.2_AssayDev,11298564,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-molecularcoverageanalysis,6.7.16,amd64,6.7.16_AssayDev,11298660,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-molecularcoverageanalysis,6.7.17,amd64,6.7.17_AssayDev,11298584,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-molecularcoverageanalysis,6.7.17,amd64,6.7.17.1_AssayDev,11298584,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-ocrp68,6.7.15,amd64,6.7.15_AssayDev,4648156,6.7.15,TRUE,6.7.15,TRUE
ts-assaydev-ocrp68,6.7.15.1,amd64,6.7.15.1_AssayDev,4644552,6.7.15.1,TRUE,6.7.15.1,TRUE
ts-assaydev-ocrp68,6.7.15.1,amd64,6.7.15.2_AssayDev,4644552,6.7.15.1,TRUE,6.7.15.2,TRUE
ts-assaydev-ocrp68,6.7.16,amd64,6.7.16_AssayDev,4646436,6.7.16,TRUE,6.7.16,TRUE
ts-assaydev-ocrp68,6.7.17,amd64,6.7.17_AssayDev,4659500,6.7.17,TRUE,6.7.17,TRUE
ts-assaydev-ocrp68,6.7.17,amd64,6.7.17.1_AssayDev,4659500,6.7.17,TRUE,6.7.17.1,TRUE
ts-assaydev-ovat-plugin68,6.7.15,amd64,6.7.15_AssayDev,20066284,6.7.15,TRUE,6.7.15,TRUE
